text,true_label,predicted_label,predicted_score,github,protocol_id
Anslag till upplysningsarbete för freden ( Forts ) om vi skola få möjligheter härtill måste vi gå ut till folket som bör bibringas uppfattning om fredens betydelse Det är därför jag tycker att herr Nerman om han varit konsekvent och verkligen velat vara den reformator av Nationernas förbund som han här önskade skulle ha anslutit sig till det föreliggande förslaget även om det gäller ett så litet belopp som det ifrågavarande,note,seg,0.9907023,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1933/prot-1933--fk--014.xml#L5407,prot-1933--fk--014
om grunderna för någon bevillning sättet för deras tillämpning eller bevillningens fördelning till utgörande,seg,note,0.99253815,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1872/prot-1872--ak--0424.xml#L2368,prot-1872--ak--0424
Vad minimipriset beträffar hade ju detta den styrkan att i tider av höga priser detta minimipris icke trädde till såsom ett pålägg under det att i tider av sjunkande priser detsamma framför allt då sådana priser framkallades av abnorma anledningar verkligen kunde träda in såsom ett botemedel Men jag måste säga mig att i den form förslagen om minimipris tidigare förelegat var detsamma förknippat med så stora tekniska svårigheter och innebar i övrigt konsekvenser i olika avseenden av sådan art att man måste ställa sig betänksam däremot Då ärendet förelåg i riksdagen voterade jag därför emot att den reservation till förmån för minimipriser som då förelåg skulle av riksdagen bifallas,note,seg,0.99253815,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1931/prot-1931--ak--029.xml#L6402,prot-1931--ak--029
I anleduing af detta memorial afgåfvos yttranden af,seg,note,0.99900395,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1872/prot-1872--ak--0424.xml#L2395,prot-1872--ak--0424
Ang skärpt beskattning av spritdrycker och vin ( Forts ) tatet att man genom den nu föreslagna åtgärden skulle vinna väsentligen två ting Dels tillföres statsverket en inkomst genom beskattning av sådana varor som ur allmän konsumtionssynpunkt icke äro nödvändighetsvaror utan om de brukas oförståndigt kunna medföra en viss våda för folkhälsan Vidare fullföljes därmed den ekonomiska politik som statsmakterna godkänt såsom riktig detta alltså tvärt emot den slutsats utskottet har kommit fram till Om utskottet velat fullfölja sin redogörelse för det ekonomiska programmet skulle jag tro att man svårligen kunnat anföra den obetydliga höjningen av index såsom ett avgörande skäl emot Kungl Majt förslag,note,seg,0.9936824,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1943/prot-1943--fk--019.xml#L2065,prot-1943--fk--019
Sammanträdet öppnades av representanten för Skaraborgs läns södra valkrets herr Persson i Stallerhult såsom den till levnadsåren äldste av de ledamöter vilka de flesta riksdagar bevistat med följande ord,note,seg,0.99589753,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1914/prot-1914-a-ak--001.xml#L54,prot-1914-a-ak--001
Onsdagen den 5 29 november 1972 Jag ber än en gång att få yrka bifall till justitieutskottets hemställan i,note,seg,0.9750388,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1972/prot-1972--126.xml#L5766,prot-1972--126
skulle löna sig utan anhåller endast om bifall till detsamma af civile tjenstemäns uniformer WE TT SÖ o så a 3 Herr Per Nilsson i Vittjerf På samma gång jag instämmer ( Ports ),seg,note,0.9936824,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1878/prot-1878--ak--017.xml#L3655,prot-1878--ak--017
Denna lag träder i kraft dagen efter den då lagen enligt därå jr döeld uppgift från trycket utkommit i Svensk författningssaming,note,seg,0.99956113,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1920/prot-1920--ak--079.xml#L3668,prot-1920--ak--079
med anledning af en anmärkning från en ärad statsutskottsledamots,seg,note,0.9995154,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1898/prot-1898--ak--008.xml#L1141,prot-1898--ak--008
Vid remiss av statsverkspropositionen ( Forts ) frågor med hänsyn till upplyst tolerans och humanitet hittills alltför litet tillgodosetts Han säger slutligen,note,seg,0.9974927,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1934/prot-1934--ak--003.xml#L5214,prot-1934--ak--003
Vid remiss av statsverkspropositionen ( Forts ) fattiga bondebefolkningen många av herrarna vilja i dag icke lyssna till den men tider komma då man vill lyssna det är att de skola förstå att endast en socialistisk organisation av samhället kan definitivt göra slut på kapitalismens anarki som för till regelbundet återkommande kriser med svält och obeskrivlig nöd för miljoner oskyldiga Det måste genom samling omkring socialistiska dagskrav och socialistiska framtidsmål göras slut på detta samhällssystem där alla bringas i harnesk mot alla Genom det arbetande folkets samling och detta arbete skulle regeringen naturligtvis gå i spetsen för ty måhända dröjer det icke ett år förrän dagens bundsförvant kommer att falla herrarna i ryggen och då utnyttja de tjänster som ni gjort dem till en politik emot hela arbetarklassen endast genom det arbetande folkets samling omkring en socialistisk politik kan skapas en grundval för en regering förande en socialistisk politik d v s en politik för det arbetande folket,note,seg,0.9995154,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1935/prot-1935--ak--004.xml#L2981,prot-1935--ak--004
helt enkelt table rase för Riksdagens bevillningsmakt det vill säga4ng ändring på hela beskattningsrätten Ty kan Kongl Maj t göra hvad han villss 57 60 och med Riksdagens beslut i bevillningsfrågor så kan Kongl Majt också formen påtvinga Riksdagen som ju icke kan lemna landets statsförvaltning ( Forts ) utan några tillgångar ett skattesystem hvars grundsatser Riksdagen helt och hållet ogillar Det är kanske lämpligt att detta en gång blir,seg,note,0.99253815,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1886/prot-1886--ak--044.xml#L392,prot-1886--ak--044
betänkandet nr 24,seg,note,0.99930036,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1972/prot-1972--126.xml#L5771,prot-1972--126
afseende å skjutsentreprenaderna,seg,note,0.99439263,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1890/prot-1890--ak--035.xml#L1912,prot-1890--ak--035
Statsverksnu vilja uttala något bestämt omdöme i frågan kan jag dock propositionen för min del icke undgå att påpeka att de utomordentligt stora,note,seg,0.99900395,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1915/prot-1915--fk--006.xml#L107,prot-1915--fk--006
Anslag till stipendier vid högre läroanstalter m m ( Forts ) femåriga realskolan som tar sig uttryck där Jag finner det emellertid liksom herr statsrådet ganska osympatiskt att denna strid upptas när det gäller dessa stipendier Man hävdar å ena sidan att våra skolformer böra bli så demokratiska som möjligt och det är ju riktigt men i nästa andedrag är man å andra sidan den förste att föreslå restriktioner Jag frågar mig liksom det tidigare gjorts här i debatten vad det finns för rimlig anledning att inför valet mellan fyraårig och femårig realskola tvinga landsbygden att avstå från den ena av valets möjligheter Det begriper jag inte,note,seg,0.99946386,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1946/prot-1946--fk--018.xml#L2369,prot-1946--fk--018
åtgärder,note,seg,0.99900395,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198788/prot-198788--130.xml#L6396,prot-198788--130
kunna avlämnas även efter den 1 juli taxeringsåret och intill utgången av januari månad året därefter,note,seg,0.9993061,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1969/prot-1969--fk--014.xml#L4578,prot-1969--fk--014
reden,seg,note,0.99941564,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1933/prot-1933--fk--014.xml#L5447,prot-1933--fk--014
Det sålunda begärda tillståndet lämnades av kammaren,note,seg,0.99439263,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1957/prot-1957--fk--003.xml#L3685,prot-1957--fk--003
