text,true_label,predicted_label,predicted_score,github,protocol_id
I propositionen nr 144 hade Kungl Majt under åberopande av bilagt utdrag av statsrådsprotokollet över ecklesiastikärenden för den 29 mars 1963 föreslagit riksdagen att godkänna av departementschefen förordade riktlinjer för utformningen av skolväsendets centrala ledning m m,note,seg,0.54955935,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1963/prot-1963--fk--027.xml#L10359,prot-1963--fk--027
Ang förordning om Svenska bostadskreditkassan,note,seg,0.587554,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1929/prot-1929--ak--043.xml#L12432,prot-1929--ak--043
1 uppmana pågående statliga utredningar inom trafikpolitikens område att snarast fullfölja sina uppdrag,note,seg,0.6068959,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1969/prot-1969--fk--039.xml#L4785,prot-1969--fk--039
Avdrag för resor,note,seg,0.63081336,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1973/prot-1973--042.xml#L3017,prot-1973--042
Ang den ekonomiska politiken m m,note,seg,0.63417286,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1967/prot-1967--fk--034.xml#L3818,prot-1967--fk--034
r 134 med förslag till förordningar om dels ändrad lydelse av 8 i förordningen den 2 juni 1922 om automobilskatt dels ock ändrad lydelse av 1 i förordningen nämnda dag om särskild skatt å automobilgummiringar,note,seg,0.54955935,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1923/prot-1923--fk--019.xml#L110,prot-1923--fk--019
No 31 angående statsregleringen och,note,seg,0.587554,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1883/prot-1883--ak--063.xml#L2246,prot-1883--ak--063
Denna omröstning öfver ofvanintagna voteringsproposition som enligt nyss ankommet och nu uppläst protokoll ST vit af Första Kammaren samtidigt anstäld hade utfallit med 145 Ja och 2 Nej hvadan då dertill läggas Andra Kammarens,note,seg,0.59485686,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1899/prot-1899--ak--028.xml#L226,prot-1899--ak--028
Anf 15 Statsrådet ANDERS YGEMAN ( S ),note,seg,0.51970226,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201617/prot-201617--082.xml#L4429,prot-201617--082
andra under år 1874 träffadt aftal om inköp af ett betydligt belopp Jernvägsskenor med tillbehör att under åren 18751880 levereras till ett vid aftalets slutande för hela tiden bestämdt pris synts revisorerne egnadt att påkalla Riksdagens uppmärksamhet hade revisorerne låtit vid sin berättelse foga en bestyrkt öfversättning af det i berörda hänseende uppgjorda kontrakt,note,seg,0.63417286,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1877/prot-1877--ak--023.xml#L2354,prot-1877--ak--023
Nr 66,note,seg,0.6376982,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1920/prot-1920--ak--066.xml#L3905,prot-1920--ak--066
8 ) de likalydande motionerna I 603 av herrar Dahlén och Bengtson samt II 690 av herrar Hedlund och Wedén såvitt nu vore i fråga,note,seg,0.67725545,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1969/prot-1969--fk--039.xml#L4719,prot-1969--fk--039
7,note,seg,0.54955935,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198788/prot-198788--068.xml#L247,prot-198788--068
af lagutskottet,note,seg,0.6096203,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1893/prot-1893--ak--029.xml#L2529,prot-1893--ak--029
herr T Zetterstrands motion no 117 till bankoutskottet,note,seg,0.6068959,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1896/prot-1896--ak--004.xml#L1073,prot-1896--ak--004
Herr Ekman,note,seg,0.51970226,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1929/prot-1929--ak--043.xml#L12474,prot-1929--ak--043
252 Den 26 April f m,note,seg,0.63417286,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1873/prot-1873--ak--0426.xml#L3405,prot-1873--ak--0426
dels ock att bemyndiga riksgäldskontoret att i mån af behof tillhandahålla statskontoret de för förskotten nödiga medlen,note,seg,0.6390096,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1907/prot-1907--fk--037.xml#L135,prot-1907--fk--037
No 39 i anledning af väckt motion om förändrade bestämmelser rörande bevakning af varufordran i konkurs och,note,seg,0.6376982,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1881/prot-1881--ak--036.xml#L1672,prot-1881--ak--036
96,note,seg,0.5584909,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198384/prot-198384--030.xml#L8390,prot-198384--030
62,note,seg,0.60985285,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198990/prot-198990--117.xml#L5663,prot-198990--117
Onsdagen den 13 februari 1952,note,seg,0.67725545,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1952/prot-1952--ak--005.xml#L3690,prot-1952--ak--005
I motionerna 171 och 1187 hade yrkats att riksdagen i skrivelse till Kungl Majt skulle hemställa om en översyn av de av 1963 års riksdag antagna riktlinjerna för den statliga trafikpolitiken i enlighet med i motionerna förordad inriktning,note,seg,0.51970226,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1969/prot-1969--fk--039.xml#L4748,prot-1969--fk--039
Sedan öfverläggningen ansetts härmed slutad gjorde herr talmannen i enlighet med de yrkanden som därunder förekommit propositioner först på bifall till hvad utskottet i nu föredragna utlåtande hemställt samt vidare på afslag därå och förklarade herr talmannen sig anse den förra propositionen hvilken förnyades vara med öfvervägande ja besvarad,note,seg,0.6376982,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1909/prot-1909--fk--047.xml#L2580,prot-1909--fk--047
Lördagen den 21 maj 1938 Nr 36 17,note,seg,0.5885866,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1938/prot-1938--fk--036.xml#L1397,prot-1938--fk--036
r 168 angående disponerande av avkastningen av statens hästavelsfond och,note,seg,0.5584909,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1937/prot-1937--ak--017.xml#L176,prot-1937--ak--017
6 Nr 18 Onsdagen den 4 december 1940,note,seg,0.60985285,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1940/prot-1940-urtima-fk--018.xml#L522,prot-1940-urtima-fk--018
SfU11 Migratio,note,seg,0.54955935,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201415/prot-201415--082.xml#L9871,prot-201415--082
Vid omröstning genom uppresning förklarades flertalet av kammarens ledamöter ha röstat för japropositionen Då herr Hernelius begärde rösträkning verkställdes votering med omröstningsapparat Denna om,note,seg,0.6096203,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1972/prot-1972--121.xml#L4239,prot-1972--121
Anf 4 ALLAN WIDMAN ( L ),note,seg,0.61681855,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201617/prot-201617--082.xml#L4390,prot-201617--082
Lördagen den 30 Januari 15 No 4,note,seg,0.59485686,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1886/prot-1886--ak--004.xml#L1211,prot-1886--ak--004
Överläggningen ansågs härmed slutad,note,seg,0.6068959,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1964/prot-1964--fk--005.xml#L3144,prot-1964--fk--005
r 2 i anledning av väckta motioner angående ändrad ordning för utträde ur svenska kyrkan samt,note,seg,0.63081336,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1959/prot-1959--fk--008.xml#L1604,prot-1959--fk--008
biföll kammaren hvad utskottet i dessa utlåtanden hemställt,note,seg,0.5889346,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1907/prot-1907--fk--037.xml#L104,prot-1907--fk--037
Anmäldes och godkändes andra lagutskottets förslag till riksdagens skrivelser till Konungen,note,seg,0.63417286,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1966/prot-1966--fk--013.xml#L237,prot-1966--fk--013
12 Anmälan om skriftliga svar på frågor,note,seg,0.6376982,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201617/prot-201617--082.xml#L4570,prot-201617--082
Efter föredragning af mom b ) lämnades ordet till,note,seg,0.5885866,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1910/prot-1910--ak--057.xml#L6140,prot-1910--ak--057
No 63,note,seg,0.60985285,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1883/prot-1883--ak--063.xml#L2308,prot-1883--ak--063
Och hade alltså beslut i denna fråga blifvit af Riksdagen fat Gemensamma,note,seg,0.6096203,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1899/prot-1899--ak--028.xml#L189,prot-1899--ak--028
Återupptaget sammanträde,note,seg,0.61681855,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201617/prot-201617--082.xml#L4477,prot-201617--082
Vinner nej har kammaren bifallit reservationen nr 2 av herrar Nelander och Molin,note,seg,0.587554,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1972/prot-1972--121.xml#L4264,prot-1972--121
herr A P Risberg fr o m den 20 maj till riksdagens slut 4 C Gunnarsson 19 JR J W Bengtsson i Häradsköp 19 A A N Beuterskiöld 19 och JE Ericssoni Ahlberga 20 8 7,note,seg,0.59485686,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1903/prot-1903--ak--067.xml#L2545,prot-1903--ak--067
2 res 1 ( SD ),note,seg,0.63081336,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201415/prot-201415--082.xml#L9880,prot-201415--082
Sverige som stat måste vara hård i alla bilaterala kontakter och tydlig i sin kritik mot den auktoritära regimen Kom ihåg att det är modiga individer som förändrar världen Utan ryska demokrater kommer ingen rysk demokrati att växa fram Jag är därför glad att ett enigt utskott ställer sig bakom Liberalernas motion om att just ha en skarpare politik gentemot Ryssland Även Centerpartiet hade motionerat i samma fråga,seg,note,0.51970226,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201516/prot-201516--116.xml#L8881,prot-201516--116
äg sbögan bestämmes efter förhållandet vid taxeringsårets ingång ( se 65 ),note,seg,0.5889346,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1928/prot-1928--ak--037.xml#L6114,prot-1928--ak--037
Föredrogs ånyo första lagutskottets memorial nr 43 i anledning av första kammarens återremiss av första lagutskottets memorial nr 38 med föranledande av kamrarnas skiljaktiga beslut beträffande första lagutskottets utlåtande nr 31 i anledning av dels Kungl Majts proposition med förslag till lag angående slakt av husdjur dels ock i ämnet väckta motioner,note,seg,0.6376982,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1927/prot-1927--fk--032.xml#L52,prot-1927--fk--032
Lördagen den 2 April e m 21 No 36,note,seg,0.5885866,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1881/prot-1881--ak--036.xml#L1618,prot-1881--ak--036
14 för res 3,note,seg,0.60985285,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201415/prot-201415--082.xml#L9895,prot-201415--082
1 utskottet,note,seg,0.67725545,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201415/prot-201415--082.xml#L9877,prot-201415--082
tesplatserna,note,seg,0.6096203,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1884/prot-1884--fk--017.xml#L1948,prot-1884--fk--017
201920513 Riksväg 83,note,seg,0.587554,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201920/prot-201920--048.xml#L3169,prot-201920--048
Herr 0 B Olsson,note,seg,0.59485686,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1877/prot-1877--ak--023.xml#L2397,prot-1877--ak--023
r 3 i anledning av väckta motioner angående redogörelse till riksdagen för behandlingen hos Kungl Majt av riksdagens skrivelser,note,seg,0.63081336,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1959/prot-1959--fk--008.xml#L1608,prot-1959--fk--008
Efter föredragning av utskottets hemställan yttrade,note,seg,0.5889346,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1921/prot-1921--ak--060.xml#L804,prot-1921--ak--060
Ang ändring i lagen om folkpensionering m m,note,seg,0.5584909,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1960/prot-1960--fk--014.xml#L3581,prot-1960--fk--014
Torsdagen den 21 november 1974,note,seg,0.54955935,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1974/prot-1974--126.xml#L2985,prot-1974--126
12 ) de likalydande motionerna 1 629 av herr Rikard Svensson m fl samt II 716 av herr Rask och herr Fridolfsson i Rödeby,note,seg,0.59485686,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1969/prot-1969--fk--039.xml#L4744,prot-1969--fk--039
till behandling av lagutskott propositionerna,note,seg,0.63081336,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1937/prot-1937--ak--017.xml#L184,prot-1937--ak--017
Ja Den det ej vill röstar,note,seg,0.6376982,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1909/prot-1909--fk--047.xml#L2596,prot-1909--fk--047
3 res 2 ( V ),note,seg,0.5584909,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201415/prot-201415--082.xml#L9883,prot-201415--082
Efter upplösning häraf yttrade motionäre,note,seg,0.54955935,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1880/prot-1880--ak--047.xml#L2828,prot-1880--ak--047
No 21,note,seg,0.6096203,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1887/prot-1887-majjul-fk--021.xml#L1207,prot-1887-majjul-fk--021
Ja 73 Nej 36,note,seg,0.61681855,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1900/prot-1900--fk--015.xml#L1638,prot-1900--fk--015
1 ) av herr Rubbestad vilken ansett att utskottets yttrande beträffande regleringen av anställningsförhållandena för viss biträdesoch amanuenspersonal bort hava den lydelse reservationen visade samt att utskottet bort hemställa att riksdagen måtte i anledning av vad i statsrådsprotokollet över finansärenden för den 3 januari 1947 anförts samt med avslag å motionerna I 176 och II 296 i skrivelse till Kungl Majt giva till känna vad utskottet anfört i fråga om reglering av anställningsförhållandena för viss biträdesoch amanuenspersonal innebärande bland annat att 2 lönegraden i vissa fall skulle behållas såsom ordinarie biträdesgrad för kontorspersonalen,note,seg,0.59485686,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1947/prot-1947--fk--009.xml#L296,prot-1947--fk--009
Herr Wester anförde,note,seg,0.51970226,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1891/prot-1891--ak--009.xml#L2958,prot-1891--ak--009
Onsdagen den 2 juli 1958 fm,note,seg,0.5889346,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1958/prot-1958-b-fk--002.xml#L1169,prot-1958-b-fk--002
r 87 angående anslag till vissa byggnadsarbeten vid statens sinnessjukhus m m för budgetåret 195960,note,seg,0.63417286,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1959/prot-1959--fk--008.xml#L1562,prot-1959--fk--008
ende ersättning af allmänna medel till vittnen i,note,seg,0.6390096,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1900/prot-1900--fk--015.xml#L1666,prot-1900--fk--015
10 ) att Riksdagen med förklarande att Kongl Majts förevarande förslag till förordning om inkomstskatt icke kunnat oförändradt bifallas måtte antaga samma förslag med de ändringar och tillägg utskottets vid betänkandet fogade författningsförslag utvisade samt,note,seg,0.6376982,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1902/prot-1902--ak--037.xml#L172,prot-1902--ak--037
Herr Sven Nilsson yttrade vid 1887 års riksdag då jag stod på samma ståndpunkt som han i statsutskottet i fråga om båtmanshällets sättande på vakaus Jag vet väl att Riksdagen slagit in på den vigen att lösa grundskatteoch försvarsfrågorna bitvis och att Kongl Majt följaktligen kan hafva skäl att fortgå på samma väg men jag hade dock icke trott att Kongl Majt skulle på det sätt gå till väga att han ville bereda fördelar ät vissa orter men icke åt,note,seg,0.60985285,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1889/prot-1889--ak--010.xml#L2456,prot-1889--ak--010
Efter det överläggningen förklarats härmed slutad gjordes i enlighet med de därunder förekomna yrkandena propositioner först på bifall till vad utskottet i det nu föredragna utlåtandet hemställt samt vidare på bifall till den i ämnet väckta motionen och förklarades den förra propositionen som upprepades vara med övervägande ja besvarad,note,seg,0.54955935,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1933/prot-1933--fk--033.xml#L2555,prot-1933--fk--033
r 13 i anledning av väckt motion angående ändrad lydelse av 42 lagen om prästval,note,seg,0.6096203,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1959/prot-1959--fk--008.xml#L1547,prot-1959--fk--008
5 I avseende å hemmavarande barn gäller att barn som uppnått 16 år och deltagit i arbetet å fastigheten anses tillhöra arbetspersonalen Barnet taxeras alltså självt för den inkomst det kan hava haft i avlöning och naturaförmåner eller eljest varemot föräldrarna få göra avdrag såsom för annan arbetshjälp För hemmavarande barn under 16 år får däremot intet avdrag göras även om barnet deltagit i arbetet ( se 20 ) varav följer att lön och underhåll åt barnet ej heller skall upptagas såsom inkomst för barnet Den lindring i föräldrarnas skattskyldighet som medgives för sådant barn regleras genom ortsavdragen ( se 48 ),note,seg,0.61681855,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1928/prot-1928--ak--037.xml#L6101,prot-1928--ak--037
Vid föredragning av motionen nr 523 hänvisades densamma i vad den avsåge,note,seg,0.51970226,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1964/prot-1964--fk--005.xml#L3161,prot-1964--fk--005
72 Nr 13,note,seg,0.5889346,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1954/prot-1954--fk--013.xml#L7160,prot-1954--fk--013
den det ej vill röstar nej,note,seg,0.63417286,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1972/prot-1972--121.xml#L4232,prot-1972--121
Anf 59 MARIA GARDFJELL ( MP ) replik,note,seg,0.5885866,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/202122/prot-202122--079.xml#L2166,prot-202122--079
Anf 37 SOFIA DAMM ( KD ),note,seg,0.54955935,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201617/prot-201617--082.xml#L4507,prot-201617--082
No 37,note,seg,0.587554,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1904/prot-1904--ak--037.xml#L1100,prot-1904--ak--037
r 43 i anledning av Kungl Majts i statsverkspropositionen under åttonde huvudtiteln gjorda framställningar om anslag för budgetåret 195960 till arkiv bibliotek och museer kyrkliga ändamål samt akademier m m jämte i ämnet väckta motioner samt,note,seg,0.51970226,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1959/prot-1959--fk--008.xml#L1615,prot-1959--fk--008
r 166 angående ytterligare statsunderstöd till vissa torrläggningsföretag,note,seg,0.5889346,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1937/prot-1937--ak--017.xml#L169,prot-1937--ak--017
278 avstod,note,seg,0.6390096,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201415/prot-201415--082.xml#L9898,prot-201415--082
Nr 24,note,seg,0.5885866,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1911/prot-1911--ak--024.xml#L921,prot-1911--ak--024
Anf 194 JOHN WIDEGREN ( M ) replik,note,seg,0.5584909,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/202122/prot-202122--042.xml#L10699,prot-202122--042
Onsdagen den 13 Juni,note,seg,0.67725545,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1883/prot-1883--ak--063.xml#L2258,prot-1883--ak--063
3 Riksdagens protokoll 198485142145,note,seg,0.6096203,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198485/prot-198485--143.xml#L756,prot-198485--143
Anf 39 TOMAS TOBÉ ( M ),note,seg,0.51970226,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201617/prot-201617--082.xml#L4513,prot-201617--082
Vinner nej har kammaren bifallit reservationen nr 1 av herr Larsson i Luttra m fl,note,seg,0.5889346,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1972/prot-1972--121.xml#L4235,prot-1972--121
Först upptas alltså konstitutionsutskottets betänkande 8 om vissa frioch rättighetsfrågor m m,note,seg,0.6390096,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198485/prot-198485--044.xml#L3643,prot-198485--044
föreställa sig Jag vet inte hur många av kammarens ledamöter som lade märke till en händelse vid årets lantbruksvecka Där fick en småbrukarfamilj en förnämlig utmärkelse för god mjölkvård under nästan 25 år jag minns inte exakt antalet år Den som observerade händelsen kanske helt förstrött gladde sig åt att en gagnande samhällsinsats blivit belönad på detta sätt men hur många tänkte på vad en sådan insats har betytt i praktiken under alla dessa år Det har varit ett arbete år ut och år in utan någon möjlighet till avlösning eller ledighet För den familjen har det minsann inte varit något problem med fria lördagar och söndagar eller treveckorssemester under somrarna eller andra förmåner som kommer andra folkgrupper till del,seg,note,0.6376982,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1962/prot-1962--fk--014.xml#L3213,prot-1962--fk--014
ringsformen ( Forts ),note,seg,0.5885866,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1920/prot-1920--ak--066.xml#L3919,prot-1920--ak--066
Anmäldes och bordlades,note,seg,0.60985285,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199596/prot-199596--066.xml#L1495,prot-199596--066
1 Justering av protokoll,note,seg,0.67725545,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201617/prot-201617--082.xml#L4368,prot-201617--082
och hade alltså beslut i denna fråga blifvit af Riksdagen fattadt i öfverensstämmelse med japropositionens innehåll,note,seg,0.54955935,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1899/prot-1899--ak--028.xml#L239,prot-1899--ak--028
163,note,seg,0.61681855,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198990/prot-198990--007.xml#L14182,prot-198990--007
r 168 med förslag till förordning om vissa ändringar i förordningen den 6 augusti 1894 angående mantalsskrivning samt,note,seg,0.587554,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1923/prot-1923--fk--019.xml#L154,prot-1923--fk--019
Anf 130 EMMA HULT ( MP ) replik,note,seg,0.5889346,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201920/prot-201920--058.xml#L5584,prot-201920--058
3 ) motionen 1I197 av herrar Blomquist och Thorsten Larsson,note,seg,0.6376982,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1969/prot-1969--fk--039.xml#L4699,prot-1969--fk--039
Utskottet hemstälde,note,seg,0.5885866,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1902/prot-1902--ak--037.xml#L169,prot-1902--ak--037
Nr 107,note,seg,0.67725545,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/197677/prot-197677--107.xml#L4501,prot-197677--107
velse till Kongl Majt med begäran om revision af riksakten hvilken motion bordlades,note,seg,0.6096203,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1891/prot-1891--ak--009.xml#L2979,prot-1891--ak--009
