content,tag
Skattepolitiken kommer naturligtvis att inverka på vår möjlighet att bevara vår välfärd vår socialpolitik och vår familjepolitik Hela fördelningspolitiken bygger på att vi har möjligheter att ta ut skatter den typ av skatter som i en framtida integration kommer att betraktas som handelshinder Det måste man faktiskt inse Det skulle vara klädsamt om socialdemokraterna diskuterade de här frågorna mer seriöst erkände att det finns risker på alla håll och kanter men sade att vi bör ta chansen Vi är tydligen beredda att betala priset Men man skall vara ärlig och säga som det är så att alla andra utanför maktens korridor bör få en möjlighet att på ett reellt sätt ta ställning i denna fråga som faktiskt berör vår framtid på ett mycket avgörande sätt,seg
Prot 198990117 8 maj 1990,note
Svar på frågor,note
62,note
Fram till dess gäller det nuvarande statsbidragssystemet Det bygger på att en fristående skola i statsbidrag för sina elever erhåller vad staten med säkerhet sparar på statsbidrag till det offentliga skolväsendet för dessa elever Låt mig då påpeka att det med utgångspunkt häri inte är relevant att tala om en genomsnittskostnad per elev i tex grundskolan utan att beräkningen bör avse en marginalkostnad Denna är normalt betydligt lägre,seg
För de skolor som har akuta ekonomiska problem har jag hänvisat skolorna till kontakter med resp kommun för att hitta lösningar I flera fall har kommunerna också skjutit till extra kommunala bidrag Waldorfskolan i Norrköping som nu är aktuell fick tex ett extra bidrag på 11 milj kr före jul Detta är enligt uppgift slut Om ytterligera kommunalt bidrag skall lämnas i ett sådant fall eller om andra lösningar skall undersökas är en sak för resp kommun och skola att diskutera,seg
Några åtgärder från regeringens sida är således för närvarande inte aktuella,seg
Anf 150 BIRGER HAGÅRD (m),note
Herr talman Jag ber att få tacka statsrådet Persson för svaret på de frågor som AnnCathrine Haglund och jag har framställt,seg
AnnCathrine Haglund är på grund av tjänsteresa i Frankrike tyvärr förhindrad att vara här i dag,seg
I hastigheten råkade statsrådet förväxla våra frågor Det var jag som frågade hur man kan trygga de fristående skolornas existens AnnCathrine Haglund frågade om statsrådet avser att föreslå att ett nytt statsbidragssystem utformas som är sådant att de fristående skolorna inte diskrimineras Den här förväxlingen spelar dock ingen roll Frågorna rör sig ju ändå om samma sak,seg
Tyvärr kan man konstatera att de fristående skolorna för närvarande har stora problem Waldorfskolan i Norrköping Rudolf Steinerskolan är stängd sedan tre veckor tillbaka på grund av brist på medel,seg
Detta gör att i synnerhet det sista avsnittet i statsrådets svar får mig att aktualisera frågan om det behövs tvingande regler i det nya statsbidragssystemet också för de kommunala bidragen Den frågan var uppe 1988 här i riksdagen I budgetpropositionen sade statsrådet Göran Perssons företrädare  det framgår av det då aktuella betänkandet  att han ansåg det vara rimligt att en kommun betalar bidrag till en fristående skola för elever som är mantalsskrivna i kommunen med ett belopp som i princip motsvarar den besparing kommunen gör genom att slippa betala tex skolmåltider och läromedel Statsrådet var dock inte beredd att förorda en absolut regel med denna innebörd De flesta kommuner får betala redan i dag enligt denna princip sade statsrådet då,seg
Utskottet anslöt sig till vad som hade anförts i propositionen Det står i det aktuella betänkandet Har skola godkänts enligt skollagens föreskrifter så att barn i kommunen har rätt att fullgöra sin skolplikt där följer därav som en logisk konsekvens att barn vid sådan skola bör få del av förmåner om vilka kommunen beslutar beträffande skolpliktiga barn Eljest skulle barn till vissa kommuninvånare särbehandlas,seg
Likställigheten ifrågasätts nu I Norrköping tex står man för 7 70 i Kal,seg
Det finns exempel där anhöriga anställts för en arbetstid som långt överskrider 40 veckotimmar,seg
Fru talman I propositionen föreslås också att möjligheter öppnas för landsting och kommuner att i vissa fall träffa avtal om kostnadsansvar för boende som avses i LSS Detta har sin grund i kommunaliseringen av omsorgen och avvecklingen av vårdhemmen vilket i vissa fall leder till stora ekonomiska påfrestningar och då speciellt för mindre kommuner,seg
Ett helt enigt utskott står bakom dessa punkter och vi föreslår också att ikraftträdandet beträffande,seg
LSSLASS senareläggs med en månad till den 1 februari 1995 Skälet till detta är att många hört av sig till oss och påtalat den korta omställningstid som blir resultatet av att riksdagen fattar beslut i denna fråga så nära inpå årsskiftet,seg
Enighet råder också beträffande den frågeställning som Susanne Ebersteins motion So4 innehåller där hon pekar på behovet av att landsting och kommuner kan träffa avtal om kostnadsansvar även för familjehemsplacerade barn Utskottet utgår ifrån att regeringen kommer att överväga den frågan utan att något initiativ behöver tas av riksdagen,seg
Fru talman Skiljelinjen i utskottet handlar om synen på avvecklingen av vårdhemmen Lagstiftningen är entydig avvecklingsplaner skall upprättas och lämnas in till Socialstyrelsen före årets utgång Någon ändring av lagstiftningen har inte skett men däremot uttalade den förutvarande borgerliga utskotts och riksdagsmajoriteten i samband med beslutet om,seg
LSSLASS att vårdhemmen skulle kunna vara kvar,seg
I två motioner från Moderaterna respektive kds upprepas nu detta krav vilket resulterat i en reservation som har stöd av de förutvarande regeringspartierna och Miljöpartiet,seg
Fru talman Frågan om avvecklingen av specialsjukhus och vårdhem är för oss socialdemokrater en fråga om människosyn Det handlar om alla människors lika värde att alla skall få möjlighet att växa i rätt miljö och med rätt förutsättningar Vårdhemmen är ingen bra miljö Det går inte heller att göra om vårdhem till gruppboende på ett tillfredsställande sätt,seg
Det är viktigt att vårdhemmen blir en parentes i vårdoch omsorgshistorien Det finns så oerhört många människor som kuvats och tryckts ned i vårdhemsmiljön Blotta namnet sänder kalla kårar utefter ryggraden på många människor i vårt samhälle,seg
Många av oss i utskottet har träffat Åke Johansson Han besökte utskottet förra mandatperioden och berättade mycket gripande om sitt liv och tiden på,seg
sinneslöanstalt Jag hoppas att de som fått Åkes bok också läst den Den ger en skrämmande bild av en mörk epok i vår historia när det gäller vår syn på handikapp,seg
Jag anklagar inte generellt de som var verksamma på dessa anstalter Inte heller anklagar jag dem som trodde att detta var det naturliga sättet att ta hand om de medmänniskor som var något annorlunda än genomsnittet och som dessutom kanske hade flera funktionshinder även osynliga sådana,seg
Fru talman Lennart Brunander har frågat mig om regeringen är beredd att utforma ett förslag till mjölkpension för att frigöra mjölkkvot,seg
Jag håller med Lennart Brunander när han i sin fråga konstaterar att Sveriges landskvot är för liten i förhållande till den produktionsförmåga som i dag finns hos landets mjölkproducenter Det är alltid problematiskt att införa ett system som är produktionsbegränsande Landskvoten är en begränsning Om svenska mjölkproducenter producerar mer än 3 303,seg
miljoner kg måste en tilläggsavgift betalas till EU,seg
Det finns en möjlighet till omfördelning av mjölkkvoter inom mjölkkvotssystemet Omfördelning sker via de köp och säljtillfällen som Statens jordbruksverk kommer att administrera Mjölkproducenter som har fått mjölkkvot kan sälja hela eller delar av kvoten medan de som vill producera mer än den kvot de innehar kan köpa sig en större kvantitet Jordbruksverket har fastställt att för nästa köp och säljtillfälle är priset 150 krkg mjölk Det finns möjlighet att prioritera vissa köpare framför andra vid dessa köpoch säljtillfällen Jag anser att det kan vara rimligt att under det första köp och säljtillfället ha en viss prioritering av utökare och nystartare,seg
Dessa köp och säljtillfällen är alltså en åtgärd som avser att lösa de problem som Lennart Brunander pekar på Innan vi har sett effekterna av köp och säljtillfällen är det enligt min mening för tidigt att börja diskutera ytterligare åtgärder,seg
Av vad jag nu har sagt framgår att regeringen inte har för avsikt att utforma ett förslag till mjölkpension,seg
Anf 20 LENNART BRUNANDER (c),note
Fru talman Jag tackar jordbruksministern för svaret Eftersom det är negativt kan jag inte säga att jag är nöjd,seg
Mjölkkvoter och fördelning av mjölkkvoter har blivit ett ganska stort bekymmer Dels har det dragit ut på tiden dels har det inneburit att många får betydligt mindre kvot än vad de måste ha för att bedriva en mjölkproduktion på något så när rimliga ekonomiska villkor,seg
Jag var ute och talade med en del mjölkbönder häromdagen Det var en som redovisade att han har haft 30 kor och i dag byggt ut till 60 kor Nu när han får ett slutligt besked får han kvot för 31 kor Han har inte en möjlighet att klara det Detta är inte ett unikt exempel Det är litet grand på det sättet,seg
Orsaken till att det blivit så är naturligtvis att kvoten är för liten Men det beror också på att när man drar ut på fördelningen på det här sättet blir en del av den produktion som annars skulle ha försvunnit kvar Hade vi fått ett köp och säljtillfälle redan i våras skulle det förmodligen ha kunnat lösts på ett bättre sätt,seg
Fru talman Jag kan hålla med statsrådet om att antalet gömda icke asylbeviljade utlänningar kanske inte skulle bli mindre om man kriminaliserade denna gärning Men det här problemet och det är min fundamentala kritik mot de nuvarande agerandet kan skapa andra problem Människor kan undra varför några när det passar skall få bryta mot gällande lagstiftning och inte andra,seg
Jag vet att många människor här i Sverige nästan de flesta tycker att det finns någon lag som är felaktig Man accepterar dock att den är tillkommen i demokratisk ordning och att man får leva med den Man får försöka agera via politiska partier eller via sina företrädare för att få en ändring till stånd Så länge lagen gäller kan man dock inte ta den i egna händer,seg
Där man har försökt detta har resultatet alltid blivit anarki Det befrämjar sannerligen inte den demokratiska utvecklingen,seg
Det är klart att det är svårt för statsrådet att svara på min fråga om hur stort antal fall det skulle behöva vara fråga om innan man från regeringens sida vidtar åtgärder Statsrådet svarade inte och det kan jag kanske förstå Jag tycker dock att utvecklingen mot bakgrund av vad som gällde 1981 då man diskuterade det här och en utredning rekommenderade straffsanktioner har varit enormt negativ Det antal som diskuterades 1981 är kanske 10  av det antal som är aktuellt i dag,seg
Jag tror inte att detta är en signal till dem som gömmer sig om att de kan fortsätta Men tyvärr kan det fru talman och herr statsråd bli en signal till andra Somliga personer kan tänka att en viss lagstiftning passar inte mig Då struntar jag i den Jag kan peka på och referera till andra som har lyckats med detta utan att samhället gjort mer än att informera Vi har ju sett herr statsråd att informationen om denna fråga hittills misslyckats närmast totalt,seg
Överläggningen var härmed avslutad,note
6  Hänvisning av ärenden till utskott,note
Föredrogs och hänvisades,note
Propositioner,note
19959636 och 132 till utrikesutskottet,note
7  Bordläggning,note
Anmäldes och bordlades,note
Konstitutionsutskottets betänkande,note
199596KU23 Offentlighet och sekretess,note
199596KU24 Några frågor om sekretess,note
När det gäller familjerådslag tycker jag att det är synd att vi inte även här kunde komma överens så att vi redan nu kunde gå vidare med ytterligare satsningar på familjerådslag jämsides med att metoden utvärderas Det finns så många förtvivlade människor i vårt land som snarast borde få pröva att lösa sin situation genom ett familjerådslag och som borde få känna att även de har rätt att komma med förslag till en lösning och att någon verkligen lyssnar på dem,seg
Söderhamns kommun är den kommun som har kommit längst i landet när det gäller familjerådslag,seg
För mig har denna kommun blivit den goda förebilden och den är värd att studera Familjerådslag är den arbetsmetod som ger de berörda familjerna rätt att vara delaktiga en rätt som alla familjer med problem måste få,seg
Men än är det inte för sent Röstar Centern och,seg
Vänsterpartiet med oss andra  Miljöpartiet Moderaterna Folkpartiet och Kristdemokraterna  och stöder reservation 40 kan familjerådslagen fortsätta utvecklas samtidigt som utvärderingen genomförs,seg
Fru talman Jag passar här på att yrka bifall till reservation 40 som handlar om familjerådslag,seg
Vi i Miljöpartiet vill också tillsätta en kommitté som ser över den sociala lagstiftningen och dess tilllämpning för att skapa ett humanare omhändertagande av barn och en bättre rättssäkerhet,seg
Under den senaste tiden har jag vid ett flertal tillfällen fått uppgifter som gör att rättssäkerheten inom socialtjänsten i vissa fall måste ifrågasättas,seg
Ett flertal personer som utretts har gjort gällande att man vid utredningarna enbart tagit upp det som talar mot dem och då ofta också förstorat det negativa Samtidigt har man medvetet utelämnat det som varit till fördel Många har också upplevt att sanningen har förvanskats Det är även vanligt att sk frivilliga omhändertaganden av barn upplevs som att de sker under hot Många har även uppgivit att de av rädsla för repressalier inte vågar ifrågasätta socialtjänstens beslut eftersom de är rädda för att de skall straffas av socialtjänsten genom att tex umgänget med ett omhändertaget barn försvåras,seg
De påståenden som jag beskrivit har framförts till mig vid ett flertal tillfällen i telefon muntligt och brevledes De har också bekräftats som tillämpliga arbetsmetoder av socialtjänstemän,seg
Det är min övertygelse och förhoppning att de allra flesta socialtjänstemän arbetar på ett annorlunda sätt än vad jag har beskrivit men det finns ändå all anledning att uppmärksamma frågan,seg
När barn far illa är det samhällets skyldighet att ingripa Men sådana ingripanden måste ske med stor försiktighet och på ett rättssäkert sätt Ett felaktigt ingripande kan skapa livslånga sår hos barnet och dess anhöriga och tron på rättssamhället kan för alltid gå förlorad,seg
En annan viktig fråga som vi tar upp är att man bör se över socialsekreterarnas utbildning och införa legitimation för socialsekreterarna Någon som är oerfaren skall inte kunna få hand om utredningar som kan vara avgörande för en människas hela fortsatta liv,seg
Fru talman När det gäller socialtjänstlagen i övrigt anser vi att alla beslut som fattas med stöd av lagen skall kunna överklagas vilket vi yrkade i vår motion I reservationen räknas ett antal situationer upp där vi anser att man skall ha rätt att överklaga men tanken är att det skall gälla alla beslut som fattas med stöd av lagen,seg
Anf 14 Statsrådet PIERRE SCHORI (s),note
Fru talman Viola Furubjelkes interpellation uppmärksammar de nya utmaningarna för 2000talets utvecklingssamarbete Globaliseringen innebär stora möjligheter för världens fattiga men också risker,seg
Biståndets roll att genom fattigdomsbekämpning fungera som säkerhetsfrämjande faktor uppmärksammas alltmer Utvecklingssamarbetet får en nyckelroll när det gäller att utveckla det gemensamma ansvaret på global nivå,seg
Mot denna bakgrund ställs frågan om jag är beredd till en bred diskussion om och översyn av biståndsmålen inför 2000talet,seg
Svaret är ja Det är en angelägen uppgift att i riksdagen och brett i samhället förankra en sammanhållen syn på utvecklingssamarbetets uppgifter inför 2000,seg
talet,seg
Frågan om en biståndspolitisk översyn har rests många gånger under de senaste åren också här i riksdagen Syftet har då oftast varit avgränsat till en starkare betoning av något av de existerande biståndsmålen eller till införande av nya mål Denna interpellation betonar snarare behovet av en helhetssyn för utvecklingssamarbetet anpassad till vår tid,seg
De mänskliga rättigheterna hålls fram som bärare av ett sammanhållet värdesystem för internationellt samarbete Demokratin står starkare i världen Ekonomierna integreras allt snabbare Afrikas Asiens och Latinamerikas vägval påverkar också Sveriges ekonomi och välfärd Miljön och befolkningsfrågorna är några av de frågor av global räckvidd som kräver gemensamma svar Utveckling i dag är alltmer en fråga om hur vi gemensamt hanterar vår framtid,seg
Partnerskapstanken styr alltmer våra sätt att samarbeta,seg
Fred demokrati och utveckling är intimt sammanlänkade Utifrån förståelsen av den helheten av fred demokrati och utveckling utformas Sveriges internationella ansvarstagande intressen och samarbete Att bidra till att höja de fattiga folkens levnadsnivå som det uttrycktes 1962 är för biståndets del grundläggande och äger alltjämt sin giltighet Att utrota fattigdomen under överskådlig tid är en möjlig uppgift och det som i grunden motiverar vårt stora biståndsengagemang,seg
Under senare år har både Sida och regeringen bedrivit ett intensivt förändringsarbete Riksdagen har diskuterat drivit på och bekräftat denna policyförnyelse I en rad skrivelser till riksdagen har biståndspolitiken utvecklats och anpassats både med hänsyn till de förändrade förutsättningarna och till de ökade erfarenheterna av och kunskaperna om utvecklingssamarbetet Det har också resulterat i nya handlingsplaner riktlinjer och handböcker för biståndets genomförande Samtidigt har en omfattande omorganisation skett av biståndsadministrationen,seg
På många sätt har därför förutsättningar skapats för ett modernt och effektivt svenskt bistånd inför,seg
2000talet Utvecklingssamarbetets roller samarbetspartner och metoder förändras ständigt Behovet av koherens mellan olika politikområden kommer att öka på både nationell europeisk och internationell nivå Biståndet integreras i den vidare utrikespolitiken exempelvis säkerhets och handelspolitiken,seg
De skrivelser som regeringen presenterat om fattigdomsbekämpning demokrati och mänskliga rättigheter samt jämställdhet och hållbar utveckling utgör grundstommen i en översyn av biståndsmålen inför,seg
Ryssland Det vore i så fall väldigt intressant att få veta vilka det är,seg
Vad gäller Lennart Klockares fråga om att tänka mer strategiskt på samarbetet i Barentsregionen kan jag svara att vi avser att arbeta strategiskt tillsammans med människor näringsliv och myndigheter i Norrbotten och i Västerbotten för den delen för att utveckla samarbetet i hela denna region på ett mer konstruktivt och tom mer aktivt sätt än som har varit fallet hittills,seg
Anf 22 OLLE LINDSTRÖM (m),note
Fru talman Harmonisering av skatter och lagstiftning om konkurrensneutralitet har att göra med gränspassagen SverigeFinland FinlandRyssland,seg
Jag vill nog inte ägna tiden åt detta just nu eftersom det är jag som är frågeställare och statsrådet som är besvarare Vi kan ta den debatten vid ett annat tillfälle,seg
Låt mig ändå säga att om statsrådet nu vill kalla mig okunnig och illvillig så faller detta omdöme också på många andra,seg
Jag har haft kontakter med bla Swedish Center i,seg
Luleå Där har man ungefär samma uppfattning om regeringens engagemang i detta område Forskare i,seg
Umeå har också samma uppfattning Det näringsområdesutskott som är valt av länderna har inte alls någon politisk anknytning till Moderaterna så att det ur den synpunkten skulle kunna vara fråga om illvillighet Utskottet har också poängterat skillnaden mellan parternas engagemang i Barents arktiska råd,seg
Alltså menar jag att vi i alla fall inte i tillräcklig grad har engagerat oss här på samma sätt som i det övriga,seg
Östersjösamarbetet Det är viktigt att det förs fram i en debatt även i denna kammare,seg
Jag deltog i den regionalpolitiska debatten under samma vecka som vi hade allmänpolitisk debatt Jag trodde att näringsministern då skulle ta upp denna fråga men han gick härifrån innan jag hann gå upp i talarstolen Därför fick vi ingen debatt i frågan Därför ställde jag en interpellation,seg
Jag skulle kunna fortsätta ytterligare ett tag och ta upp just dessa bitar som betyder så mycket för en glesbygd med få företag och stor arbetslöshet Arbetslösheten i hela Tornedalen är mycket mycket större än i övriga Sverige Därför är detta en viktig fråga,seg
Anf 23 Statsrådet LEIF PAGROTSKY (s),note
Fru talman Det var en överraskning för mig Jag trodde att detta var en interpellationsdebatt Jag har debattregler framför mig och där står om deltagarna i debatten Olle Lindström säger att det inte är en debatt där vi skall debattera med varandra utan jag skall snällt svara på frågor från interpellanten som är den som bestämmer vad det skall pratas om Det var ursäkten för att inte svara på den enda lilla fråga jag ställde i denna debatt som jag föredrar att kalla det,seg
Den handlar om vad han själv avser när han säger att vi skall harmonisera våra skatter med Rysslands,seg
Jag tycker att det var en konstig fråga och jag vill ha ett klargörande av vad han egentligen syftar på och om jag har missförstått eller inte Han valde att ducka undan och säga att det minsann är statsrådet som skall svara och att det är han som ledamot som ställer frågor Någon debatt skall vi inte ha,seg
Anf 140 JOHAN LÖNNROTH (v) replik,note
Fru talman Att jag står bakom denna reservation betyder att jag mycket väl kan tänka mig att lagstiftningen utformas på ett sådant sätt att den inte hindrar just den här omedelbara publiceringen Jag hoppas verkligen att vi ska kunna konstruera lagen på ett sådant sätt att den inte innebär ett hinder för att komma så långt,seg
Jag vill säga ytterligare några ord om det andra resonemanget kring reservation 1 Det är ju riktigt att vi inte har haft möjligheter  vi har inte de utredningsresurserna  att göra de riktigt djupsinniga analyserna av huruvida Riksbanken verkligen har behandlat övre och undre toleransnivån på ett likvärdigt sätt när det gäller inflationsmålet Det är ju riktigt så långt Det är klart att det är en bedömning som vi har gjort Och det präglar inte bara Riksbanken Jag har ju den uppfattningen att hela den politiska debatten har genomgått en förskjutning under de senaste fem sex eller sju åren från att betona sysselsättningsmålet till att betona inflationsmålet på ett något ensidigt sätt Och då menar jag alltså den övre gränsen för inflationsmålet,seg
Jag är alltså så konservativ att jag i stort sett står bakom den politiska linje som tex finns i Ja,seg
Bergqvists reservation till 1993 års riksbanksutredning  jag hoppas att det är okej att jag för femtioelfte gången hänvisar till den Hela det politiska spektret har tycker jag förskjutits åt det ensidiga inflationsbekämpandet,seg
Vi är helt överens om att inflationen måste hållas på en rimlig nivå och hållas låg men det har blivit en överbetoning i monetarismens namn Nu är det enbart inflationen som är den stora fienden Det talas allt mindre om det avgörande sysselsättningsmålet,seg
Anf 141 JAN BERGQVIST (s) replik,note
Fru talman Johan Lönnroth har faktiskt inget bra underlag för sin bedömning vad gäller det här med asymmetri Vad vi under senare år har erfarenhet av är ju att man har legat lågt när det gäller inflationen,seg
Men hur Riksbanken skulle agera om man låg motsvarande över målet har vi ingen erfarenhet av så det är faktiskt lite svårt att göra en jämförelse Jag tycker att finansutskottets värdering ska försöka hålla sig till grundvalen alltså att det finns ett ordentligt underlag när sådana här bedömningar görs Det gör att jag tycker att ett sådant underlag inte finns,seg
Anf 142 LENA EK (c),note
Fru talman och ledamöter Vi i Centerpartiet ställer oss bakom den penningpolitik som i dag förs och vi tycker att utvärderingen av Riksbankens arbete på det sätt som nu sker i stort sett fungerar bra Vi anser också att öppenhet är mycket viktigt bla av demokratiska skäl Jag ska inte nu gå in på en diskussion kring den europeiska monetära unionen men där finns en av de skillnader som gör att vi har ett annat ställningstagande  vi är ju negativa till Sveriges medlemskap där,seg
Öppenhet är viktigt också därför att det blir en lugnande inverkan på marknaden genom att förutsägbarheten blir högre Detta för mig in på den diskussion som förts här i kammaren om reservation 3 som handlar om Riksbankens sammanträdesprotokoll,seg
Vi ser tjänstesektorn som en stor framtida tillväxtsektor Produktion och försäljning av tjänster kommer i framtiden att få allt större utrymme i relation till varuproduktion och varuförsäljning För att det här ska kunna ske måste den ekonomiska diskriminering som i dag drabbar tjänsteföretag minska Diskrimineringen består i att arbete i dag generellt beskattas hårdare än kapital Stimulanser för att påskynda utvecklingen av antalet tjänsteföretag skulle få stora effekter när det gäller antalet nya jobb Riksdagen bör därför ge regeringen till känna att det är angeläget för företagande och för samhällsekonomin att man sänker skatten på arbete Därför yrkar jag bifall till reservation 1 under punkt 1,seg
I den här reservationen skriver vi tillsammans med Moderaterna Centern och Folkpartiet att nivån på beskattningen av arbete har stor betydelse för tillväxten och för hur företagssektorn utvecklas,seg
Det är viktigt att vi skapar goda förutsättningar,seg
En hög beskattning av arbete leder till en sämre fungerande arbetsmarknad och med sänkt skatt på arbete skulle tillväxtkraften i ekonomin stärkas Inte minst i förhållande till internationell konkurrens är det här viktigt Flera branscher drabbas i dag inte bara av det höga skattetryck som vi har i Sverige utan också av de stora olikheter som råder i fråga om skattetryck mellan olika länder som leder till konkurrensnackdelar för svenskt näringsliv,seg
I betänkandet lyfts några särskilda branscher fram som drabbas av den höga beskattningen av arbete,seg
Det gäller de hushållsnära tjänsterna som vi hörde i föregående inlägg och som vi flera gånger har debatterat i den här kammaren Det gäller turistnäringen yrkesfiskarna och åkerinäringen Åkerinäringen har också i ett annat avseende tuffa förutsättningar i Sverige Det hörde vi min partikamrat Kenneth Lantz tala om när betänkandet om punktskatter debatterades,seg
En annan grupp företag till vilka dagens skattesystem inte är anpassat är familjeföretag och andra fåmansbolag I dag finns ett antal rent diskriminerande särregler för fåmansföretag Reglerna är trots att flera förändringar har gjorts sedan de infördes 1990 fortfarande ofördelaktiga jämfört med dem som gäller för andra företag Skattereglerna för fåmansbolag är dessutom ytterligt komplicerade,seg
Ett särskilt problem gäller vad som ska ses som intäkt av kapital och vad som ska ses som inkomst av arbete dvs lön av den utdelning som ägaren tar ut ur sitt företag I dag gäller att som kapitalinkomst räknas endast ett belopp motsvarande statslåneräntan plus,seg
5  Resten räknas som lön och beskattas därefter,seg
Innan ägaren betalar skatt på utdelningen har utdelningen också beskattats i företaget Det är den sk,seg
dubbelbeskattningen Också denna vill kristdemokraterna avskaffa och det har vi en reservation om,seg
Utgångspunkten måste ju vara att delägare i fåmansaktiebolag ska betraktas och behandlas lika som delägare i större bolag och endast utdelning över ett belopp som skulle motsvara marknadsmässig lön bör beskattas som kapitalinkomst På samma vis bör barn under 16 år som jobbar i familjeföretag kunna få skälig ersättning utan att denna ska läggas på föräldrarnas inkomst och beskattas av dem vilket är fallet i dag En 15åring som jobbar i familjeföretaget får tex se sin lön lagd på mammans eller pappans lön vilket med dagens marginaleffekter ofta leder till att han eller hon drabbas av mycket högre skatt än kompisen som har fått sommarjobb i samma företag eller om lönen hade kommit från någon annan arbetsgivare,seg
Hittills har erfarenheten varit att det har fungerat relativt väl på ett område där vi har fått mycket kritik för att vi har haft så många invandrade akademiker som har läkarutbildning och som inte har fått komma i tjänst i vår sjukvård,seg
Det finns alltså fler som har ansvar för att se till att finansiera en sådan här verksamhet Det som jag och regeringen vill göra är att se till att högskolornas utvecklingsarbete tar fart Det måste det göra Högskolorna måste ta ett bredare ansvar för att skapa de nätverk som behövs kring utbildningen för att den ska bli lyckosam,seg
Anf 118 ANA MARIA NARTI (fp),note
Fru talman Tack utbildningsministern Jag tror att vi är överens om behovet av en helt annan arbetsmiljö i den akademiska världen när kulturer och erfarenheter från många delar av världen börjar blanda sig med varandra och möta varandra,seg
Det är inte enkelt Jag kan berätta av egen erfarenhet När jag kom till Sverige  det var 1970  så hade jag redan undervisat på högskolenivå Jag tvingades börja om på nollnivå,seg
Jag hade också en kusin i Sverige som var nästan klar med sin arkitektexamen Han fick bygga en skola i Sverige men om han skulle ta sin sista examen i,seg
Sverige så skulle han vara tvungen att börja i årskurs två Resultatet blev att han nu är en mycket känd arkitekt i Boston Han har byggt arabiska städer i,seg
Saudiarabien Han gjorde förresten också den berömda filmen om handikappade och övergivna barn i,seg
Rumänien  den film som satte i gång den stora förbättringen för de här barnen Sverige förlorade alltså en oerhört värdefull medborgare Och jag förlorade en kusin  det är svårare att träffas när han bor i,seg
Boston Han är fortfarande en oerhört aktiv person,seg
Man förlorar alltså människor man förlorar kraft och man förlorar kunskap när man inte värderar kunskap som kommer utifrån Det finns yrkesområden som fortfarande är stängda för akademiker från andra delar av världen För två tre år sedan mötte man jurister från andra länder på arbetsförmedlingen med repliken Du saknar yrke,seg
Problemet är inte löst än i dag Ekonomer från andra länder får väldigt svårt att komma in i branschen Antagligen är branschen alldeles för glansig och prestigeartad för att man ska släppa in fattiga flyktingar Samhällsvetare konstnärer och mediearbetare har också enorma svårigheter att brottas med,seg
Jag kan inte på något sätt tro på någonting alls i detta sammanhang Jag har haft alldeles för många direkta konfrontationer med fullständig oförståelse för den arbetslösa akademiker som kommer utifrån,seg
Jag kan tex berätta om en journalist som kommer från Kina och som skriver på kinesiska på engelska och på svenska Hon är mycket duktig Men hon fick inte registrera sig på arbetsförmedlingen Kultur Media för hon passade inte in i de kvadratiska bestämmelser som man har där Det finns många människor som har precis samma erfarenhet När det gäller pengarna som har gått till AMS är jag alltså rädd för att de har gått i ett svart hål,seg
Det här med läkarna berör två områden Stockholm och ett stort område i Götaland Där har man agerat aktivt politiskt och i samverkan med Läkarförbundet för att förbättra den modell som var bra på 70,seg
och 80talen och förstördes stegvis på 90talet,seg
