content,tag
Chefen för finansdepartementet herr statsrådet Wigforss Herr talmannJag ville bara säga ett par ord om ett argument som några gånger anförtsni debatten och det är att eftersom riksdagen vid försvarsreformens genomföranden föreslog att till fälttjänstövningar skall utgå 700000 kronor skallnman i år inte kunna tänka sig någon lägre siffra I denna punkt rör det sig omnett obetydligt belopp men om den principen genomfördes att alla anslag somnriksdagen förra året beslöt skola gå ut sedan den nya härordningen blivit genomfördn skulle utgå omedelbart och innan de motsvarande besparingarnangjorts då bleve det omöjligt att göra upp en budget under nuvarande förhållandenn Det är bara detta jag vill påpeka att det är och blir nödvändigt attnunder denna övergångstid när så mycket av det gamla står kvar och krävernkostnader försöka spara och draga in även på de poster som man vet kommanatt stiga i det ögonblick den nya härordningen är genomförd,intro
Anf 37 BENGT HARDING OLSON (fp),intro
Herr De Geer Herr talman Orsaken till att jag kommit att tala motnmotionen nr 9 och utskottets utlåtande är framför allt att rekommendationernan sträcka sig utanför fredskrisens ram Man går betydligt längre HerrnNilsson i Stockholm yttrade nyss att när det enskilda näringslivet får planerasn på lång sikt varför skulle icke då statsmakterna få planera på långnsikt  jo naturligtvis  men om planeringarna icke begränsa sig till åtgärdern mot fredskrisen dess bekämpande och dess följdverkningar blir det ettnannat förhållande Jag skymtar emellertid i synnerhet bakom motionen och innågon mån bakom utskottets utlåtande planer och förslag som rikta sig motnsjälva grundvalen för vår nuvarande ekonomiska samhällsordning Det är motndessa rekommendationer och planer jag vill höja en varnande röst,intro
Herr Nylander Herr talman Då jag gått fram med denna motion harndet varit i den livliga föreställningen och uppfattningen att ett uppenbart felnbegåtts i tullbehandlingen av dessa s k klädda elektroder och jag får säga attnför varje tekniker som sysslat med detta har det varit mycket svårt att kunnanförstå hur man kunnat inrangera denna vara under rubriken löd och svetsmedeln,intro
Herr Nylander Herr talman Denna angelägenhet är givetvis av väsentligtn större betydelse för vårt lands handel än den föregående frågan Det är junså att förbrukningen inom Sverige av gummiklackar har blivit synnerligen stornde sista åren beroende därpå att den ena skofabriken efter den andra har gåttnin för att redan vid sin nytillverkning förse skodonen med gummiklackar Ändanintill år 1926 var tullen på gummiklackar 1 krona 20 öre för kilogram Dånsattes emellertid tullen på en gång ned så lågt som till 50 öre för kilogram Pångrund av denna stora prissänkning har det varit synnerligen svårt för de svenskan gummifabrikerna att kunna följa med i konkurrensen,intro
Herr LASSINANTTI (s) kort genmäle,intro
Herr JANSSON i Kalix (s),intro
Anf 90 PER UNCKEL (m),intro
Herr LUNDQVIST Herr talman Redann en mycket flyktig granskning avnstatsverkspropositionen visar att det ärnmycket avsevärda nedskärningar av denstatliga investeringarna som regeringennnu föreslår,intro
Anf 76 RUNE JOHANSSON (s),intro
Herr Bondeson Herr greve och talman Jag skall endast en kort stundnupptaga kammarens tid då debatten dragit så långt ut Men när landsbygdsrepresentantern framhållit olägenheter av den tvååriga fortsättningsskolan villnjag säga att jag tycker att det är mycket oklokt av landsbygdens representantern att på minsta sätt vilja försämra skolväserdet på landsbygden Vinha i den socken där jag bor för rätt länge sedan genomfört den tvååriganfortsättningsskolan och det är klart att den medför olägenheter lika väl somnfördelar Att det gnisslar ibland må vara sant men då får man alltid försökan finna någon utväg Att det är en ekonomisk uppoffring för föräldrarnanatt hålla sina barn i skolan när de äro så gamla att de kunna hava förvärvsarbeten är sant och det finnes fall då kommunen måste träda hjälpande emellann för att barnen skola kunna gå i skolan,intro
Herr Hage Herr talman Den fråga som här beröres har vid upprepaden tillfällen varit föremål för riksdagens behandling Det gäller ju att sökanåstadkomma att de livräntetagare och understödstagare som ha ersättning enligtn den gamla olycksfallsförsäkringslagen av 1901 och som uppbära en mycketn mindre ersättning än de som åtnjuta ersättning enligt den nya lagen avn1916 skola kunna få något litet tillskott för att få det en smula bättre ställtnoch med avseende på sina inkomster komma litet närmare de livräntetagarensom få sin ersättning enligt den nya lagen De människor som det här gällernatt hjälpa äro i allmänhet tämligen gamla och de äro ej så många till antaletnAllteftersom åren gå blir deras antal mindre och mindre och man torde kunnan göra det påståendet att om en sådan reform som den jag ifrågasatt mednmitt utredningsförslag kunde genomföras så är det troligt att det icke skullenkosta staten så synnerligen mycket,intro
Herr GUSTAFSSON i Kårby (cp) erhölln på begäran ordet och yttrade,intro
Herr ESKILSSON (h),intro
ALEXANDER CHRISOPOULOS (vpk),intro
Andre vice talman CHRISTER EIREFELT (fp),intro
LARS AHLSTRÖM (m)nFru talman För oss som hade förmånen att vara med och följa debatternani Östersund framgick det med all önskvärd tydlighet att ekonomin är ödes,intro
Hans excellens herr ministern för utrikesärendena Trygger Herr talmannmina herrar Konstitutionsutskottet har mot mig gjort anmälan enligt  107nregeringsformen på grund av det enligt utskottets förmenande felaktiga sättnvarpå jag handlagt de vid tullkonferensen i Geneve förekommande ärendennEnligt utskottets mening skulle jag ha underlåtit att i den omfattning vartillngrundlagens stadganden bort föranleda rådpläga med utrikesnämnden Visserligenn har jag den 4 april 1930 innan frågan om de vid konferensen uppgjordan förslag till internationella överenskommelser inför Kungl Majt föredragitsn till godkännande och undertecknande vid sammanträde av utrikesnämndenn redogjort för dessa förslag Konstitutionsutskottet har emellertidngjort gällande att redan instruktionen för Sveriges ombud vid konferensennbort underställas utrikesnämnden liksom ock att densamma bort sammankallasn under den notväxling som under konferensens lopp ägt rum mellan utrikesdepartementetn och nämnda ombud,intro
Herr Jonsson i Eskilstuna Herr talman Jag har ju minst av allt någonnanlednirg att här uppträda till försvar för de borgerliga partierna i denna frågan eller för motionärerna Men rätt skall vara rätt och man bör uppmärksamman att uti dessa motioner även pekats på vikten och nödvändigheten av,intro
Herr WEDÉN (fp),intro
Anf 46 ÅKE WICTORSSON (s),intro
Anf 44 Statsrådet BIRGITTA DAHL,intro
Anf 230 PERRICHARD MOLÉN (m) replik,intro
Herr Winberg Det skall icke falla mig in att här taga upp någonn debatt med herr statsministern rörande den mönstergilla nykterhetslagstiftningn som vi enligt hans uppfattning lära ha här i landet ty pånden punkten skulle jag tro att vi hava åtskilligt divergerande uppfattningn Jag skulle dock vilja säga att med den erfarenhet man har omndenna lagstiftnings verkan här i landet vore det kanske skäl att uttalansig litet mindre bestämt om de mönstergilla egenskaper den har,intro
Herr Lundell Herr talman Jag kanske kan börja med att svara på detnsom herr Thorell här senast påtalade Det är nämligen en sak som vi vänt ochnvridit på en hel del inom utskottet Den formulering som står i utskottetsnförslag påföras den skattskyldige för år 1939  är nog utan tvivel riktign Den kronodebetsedel som vi fingo i höstas upptar nämligen kronoskattennför år 1939 som skall betalas dels i november 1939 och dels i maj 1940 Påndebetsedeln står nämligen Kronodebetsedel för år 1939 Det är det tekniskan uttryck som användes i författningen Skulle man däremot taga den formuleringn som står i Kungl Majts förslag  påföras den skattskyldige pångrund av taxering för år 1939  skulle man snarare kunna komma att framkallan det missförståndet att det skulle avse taxeringen för 1939 års inkomstnDetta är ju icke meningen utan meningen är att skatten skall gälla för 1938nårs inkomst eller motsvarande beskattningsår Den formulering som nu ärnföreslagen är utan tvivel riktig Den formulering som herr Thorell här framkastaden såsom en möjlighet  på grund av taxering år 1939  d v s ennstrykning av ordet för ha vi icke kunnat godkänna därför att värnskattennskulle gälla även den eftertaxering som eventuellt framdeles kunde kommanpå 1938 års inkomst i vilket fall taxeringen icke kunde sägas vara utförd vidn1939 års taxeringsförrättning men i alla fall skall följas vid efterdebiteringennav värnskatt Det är dessa omständigheter som gjort att formuleringen blivitnden nu föreslagna Och den är nog absolut riktig det ha alla på sistone varitnense om,intro
Herr Olsson i Gävle Jag nödgas herr talman korrigera några av de uppgiftern herr Lundell så välvilligt strödde omkring sig I fråga om investeringsfondernan föreligger ju den lilla skillnaden att den lagstiftning som nu föreslåsn till övervägande del är avsedd att ersätta en lag som ägt tillämpning sedann 1938 Om man inte kopplat ihop dessa frågor skulle två lagar samtidigtnha kommit att gälla beträffande investeringsfonderna,intro
Anf 27 KJELLOLOF FELDT (s) replik,intro
88nOrdet lämnades på begäran tillnHerr GUSTAFSSON i Skellefteå (fp),intro
som yttradenHerr talman Jag tillåter mig hem,intro
Herr GUSTAFSSON i Borås (fp) som,intro
yttrade,intro
Anf 109 GUNNAR BJÖRK i Gävle (c) replik,intro
Chefen för justitiedepartementet herr statsrådet EkebergnHerr talman Vad konstitutionsutskottets ärade ordförande här harnanfört kom för mig en smula överraskande då jag vid resonemangnmed de sakunniga icke fått samma intryck som han Jag vände migndärför nu till de sakkunnigas ordförande som för mig mycket kategorisktn förklarade att han anser att det nu föreliggande förslagetnäven om det skulle stanna vid detta avgjort är att föredraga framförnden nu gällande ordningen Jag vill också framhålla att det åberopaden yttrandet på sidan 7 i de sakkunnigas betänkande närmastnär riktat mot ett införande av länsvalkretsar utan alla komplementnMen här föreslås ju dock i propositionen det komplement som av densakkunniga framhållits såsom det allra viktigaste nämligen dennförändrade sammanräkningsmetoden,intro
Herr Vennerström Jag vill i största korthet som norrlänningn nedlägga en protest mot herr Olssons i Rösta metod att talanå hela Norrlands vägnar Jag har nyligen varit hemma och blev dånuppringd av redaktören för den ledande liberala tidningen i Ångermanlandn nämligen Västernorrlands Allehanda Han bad mig uttryckligenn å sitt partis vägnar att jag skulle i riksdagen inlägga ennbestämd protest mot att herr Olsson i Rösta och hans medmotionärernskulle tala å det samfällda Norrlands vägnar Jag har velat fullgörandet uppdraget och jag vill därjämte tillägga att även den ledandenhögertidningen i samma landskap nämligen Härnösandsposten harnlika bestämt uttalat sig till förmån för de stora valkretsarna,intro
Herr Olsson i Rösta Herr talman Jag ber att få framhållan att jag inte talade å Norrlands vägnar i vidare mån än attnjag talade å ett flertal Norrlandsrepresentanters vägnar vilka undertecknatn den av mig avgivna motionen Det var endast detta jagnville säga,intro
Herr Ström Herr andre vice talman Den motion som här föreligger ärnju mycket behjärtansvärd och man borde naturligtvis i någon mån tillgodosende önskemål som där framföras Det kan emellertid icke vara något intressenför staten att gå in för pensionering av vissa grupper och i detta fall små gruppern försåvitt det icke ligger något annat bakom som motiverar detta TI annatn fall borde man ju från det allmännas sida sträva efter att genomföra ennpensionering för alla grupper med så pass stora belopp att vederbörande kundenleva på de utgående understöden Här är det emellertid faktiskt på det sättetnatt det verkligen ligger ett annat önskemål bakom nämligen tillgodoseendetnav trafiksäkerheten vilket skulle kunna motivera att denna fråga upptogesntill särskild behandling Man kan ju motivera det därmed att när statens järnvägar,intro
Herr Gardell i Gans Herr talman Jag kunde ha nöjt mig med att instämman med den föregående talaren Jag vill emellertid också framhålla attndå endast 48 Zz av delägarna i marken kunna påföras kostnader för utdikningnså ha de icke kunnat betala dessa kostnader Det finns vidare ingen beräkningsgrundn Man vet inte hur man skall beräkna då en stor del av båtnadsJordenn är borta Man vet inte hur uttaxeringen skall ske Saken är synnerligenn behjärtansvärd och en proposition skulle vara mycket välkommen J agnber att helt få instämma med föregående talare,intro
Herr Hagberg i Luleå Herr talman Jag skall inte med många ord försenan det beslut som riksdagen nu står i begrepp att fatta Jag har emellertidn tillsammans med herr Brädefors väckt en motion  nummer 751  i anledningn av Kungl Majts proposition och anser mig i varje fall böra yrka bifallntill densamma om inte annat så för att demonstrera vad Jag anser vara rättnoch billigt i denna fråga,intro
Herr Lindhagen Herr talman TI denna bollkastning om våra förmodandenn har jag begärt ordet för att angiva även min röstning och grunderna förndensamma,intro
Herr BOO (s) kort genmäle,intro
Herr Lundqvist i Rotebro Herr talman Jag ber att få uttala ett beklaganden av att statsutskottet har avstyrkt denna min motion med den synnerligenn behjärtansvärda och på samma gång mycket rimliga framställning somnden inrymmer Förhållandena måste ju anses ganska anmärkningsvärda Jagntillåter mig fästa kammarens uppmärksamhet på att detta stora övningsfältnsom ligger alldeles utanför Stockholm mitt inne bland de norra förstädernanmed ett fyrtiotal olika gårdar ännu inte är elektrifierat Jag skulle knappastn tro att det finnes några andra gårdar i hela Uppland med tillnärmelsevisn samma förutsättningar som ha det så dåligt ställt i nu förevarande avseenden som alla dessa gårdar på kronans egen mark,intro
Herr WEHTJE (kort genmäle) Herrntalman Jag skulle endast med någranord vilja bemöta herr Björnsson i vadnhan anförde till bankofullmäktiges försvarn för sitt handlande Jag tycker attnhan skjuter över skulden i alldeles för,intro
Herr BJÖRNSSON (kort genmäle) Vinbehöva inte leva bara på våra lagernherr Wehtje Vi beräkna att till hårdvalutaländern kunna exportera varor ochntjänster för 1500 miljoner kronor omnåret och det är det vi skola leva pånMen vår valutarereserv på 400 miljonernkronor kunna vi såvitt jag förstår behållan oförändrad,intro
